A1IKOYZVFHO1XP	B000000WGF	5	Paula Abdul 's 1988 debut FOREVER YOUR GIRL sold five million copies in a year since the album 's release . <sssss> The same thing happened with Mariah Carey 's self-titled debut 2 years later , Madonna 's LIKE A VIRGIN album in 1984 and Whitney Houston 's 1985 self-titled debut . <sssss> This album remained on the charts through spring 1990 . <sssss> When STRAIGHT UP debuted on the radio in late 1988 , the sales of the album rapidly increased . <sssss> Other hits include THE WAY THAT YOU LOVE ME , KNOCKED OUT , OPPOSITES ATTRACT , NEXT TO YOU , COLD HEARTED and the title track . <sssss> Another ten-track album with seven hits that I know of is Bryan Adams ' RECKLESS album . <sssss> A must for urban music fans . <sssss> Also it 's ideal for nightclub play .
A29TNAVMPYFRDF	B000000WGF	4	Though Paula Abdul first gained notoriety for choreographing Janet Jackson 's CONTROL videos , her debut FOREVER YOUR GIRL managed to thrust her into the pop stratosphere , firmly taking a place right next to ... Janet Jackson . <sssss> How 's that for karma ? <sssss> Of course , it helped that she was fully armed with an album full of strong dance-pop tunes -- ' Straight Up ' , ' Cold Hearted ' , and you know the rest . <sssss> Even the non-singles here are terrific , particularly ' State Of Attraction ' and ' I Need You ' . <sssss> The only real sore point is the album 's sole ballad ' Next To You ' , which did nothing but remind us that singing was never really Abdul 's strong suit . <sssss> Otherwise , this is a nice reminder of what an engaging and sincere performer Abdul was , and why current pop princesses like Britney and Christina do n't hold a candle to our Paula .
A1NVEW628JUS2Y	B000000WGF	5	And the results speak for themselves ! <sssss> With her angelically squeaky voice , bubbly personality , and take-charge attitude , this chick was a real force back in the late '80s . <sssss> Along with Janet Jackson ( " JJ " as she 's known to the playas of da world ) , Paula Abdul almost singlehandedly drove the music industry forward , back in ' 88 . <sssss> Along the way she broke new ground in her videos . <sssss> Remember that cat she flirted with in the " Opposites Attract " video ? <sssss> It inspired Roger Rabbit and Beavis and Butthead . <sssss> Remember the sizzling choreography in the risque " Cold Hearted " video ? <sssss> It inspired " Melrose Place " and ABC 's " The Bachelor " . <sssss> Simply put , Abdul paved the way for future imitators like J-Lo and even Gloria Estephan . <sssss> ( What in the world ever happened to her ???? <sssss> ) . <sssss> What a career Abdul has had !! <sssss> From a Laker girl to a singer to an analyst on one of TV 's biggest shows ever , Paula A is a true hero to women and men of all ages ! <sssss> I WISH HER LUCK FROM HERE ON OUT !!!! <sssss> MAYBE SHE AND SIMON WILL FINALLY GET TOGETHER ON IDOL 'S 3RD SEASON !!!!! <sssss> LATER , DUDES !!!!!!!!!!! 
A28FNKCGFS03VL	B000000WGF	5	No matter what controversy Paula Abdul tends to generate these days , there used to be a time when she was much more well-respected , and rightly so with this high-energy , hits-heavy album . <sssss> " Straight Up " and " Forever Your Girl " are two songs that really say " bring back the 80s " . <sssss> A lot of people said that she had no singing talent , and while I can agree on the fact that her whiny , nasal wail is not the most pleasant singing voice that somebody could 've been blessed with , she still knows how to sing with energy and passion .
A1UH3S1GVFSMFH	B000000WGF	2	I decided recently to pull out my old vinyl of Paula Abdul and spin this baby . <sssss> Well I have noticed since I am now about 11 years older I realized Abdul 's voice now gets on my nerves , and that her songs though they had their place and time in 1989 just do n't hold up well today . <sssss> Songs like " Straight Up " , " Knocked Out " , and " The Way That You Love Me " , just do n't infect me like some old pop songs do like The Emotions " Best of My Love " or Lovin ' Spoonfuls " Summer in the City " ... . <sssss> get the picture ? <sssss> Unless your an Abdul fanatic , all I can say is this is really run of the mill pop with some infectious hooks ... <sssss> I think if Madonna , or Deborah Gibson ( who have stronger voices ) sang these dittys they may hold up better .
A1J5KCZC8CMW9I	B000000WGF	4	There was a time when " Paula Abdul " was a cheerleader for the " L.A. Lakers " . <sssss> There was also a time when she was as popular as " Madonna " and " Janet Jackson " , and that was because of " Forever Your Girl " . <sssss> The album was huge when it came out , and seemed to produce an endless supply of singles . <sssss> Included is probably her biggest hit " Straight Up " , plus " Opposites Attract " , " Cold Hearted " , and " Forever Your Girl " . <sssss> All the other tracks are almost as good , and a favorite of mine is " Next To You " . <sssss> She does actually have a " Greatest Hits " out as well , and six of these songs are on that , plus " Rush Rush " , " Promise Of A New Day " , and others . <sssss> It 's too bad that now she 's mostly known for judging " American Idol " . <sssss> Some people will never know she used to make videos with animated cats .
A3SV72ZAHH2IDH	B000000WGF	5	Long before Paula Abdul was a judge on American Idol she was a very succesful singer , actually she was among the most popular in the world for a few years 1988-1992 and had 5-6 number 1 singles in the US . <sssss> Although she was not the best of singers , her voice was thin and girlish it was personal and unique and always interesting to listen to . <sssss> On the other hand Paula was a great entertainer , fantastic dancer and very charismatic . <sssss> She had initially been a cheerleader and choreographer but eventually those qualities would be useful for her own career . <sssss> Not too surprisingly Paula is better on uptempo songs . <sssss> Babyface penned first single " Knocked Out " was n't a hit and neither second single " ( It 's Just ) The Way That You Love Me " until it later was re-released . <sssss> The album was n't going particulary well either , but everything changed when third single " Staight Up " was released . <sssss> It went to number # 1 and made Paula a overnight sensation , the album eventually reached # 1 aswell , but it took 62 weeks , a record for an album . <sssss> Midtempos " Forever Your Girl " " Cold Hearted " and the last single of this album , a duet with the Wild Pair " Opposite Attracts " would also reach the top of the charts , making Paula Abdul one of the most popular artists of 1988-1989 and " Forever Your Girl " has now sold around 17 Million copies . <sssss> Some of the songs have dated but not everything , campared to alot of her peers this album is still full of good quality that not always sound like typical 80 's music and the hitsingles talk for themselves . <sssss> The first of only 3 albums she released is undoubtly the best and worth a place in a music collection .
A1XFNWGTPMG1AE	B000000WGF	5	Selling around 7 million , makes a good state , that this album is no mistake to buy it ! <sssss> , Paula Abdul debut album embraces the music of the end of th 80 's and the welcoming of the 90 's , she should be remember as the top artist of that slack of time cuz she was , better than Madonna and Janet . <sssss> For my taste 9 of the 10 album cuts are great . <sssss> Next to you ( should be left out ) , The other songs are definetily great ! <sssss> and the 6 singles release in this album are just classic , sadly as most of all the albums in the eighties the radio version were slightly different but if you want that The Greatest Hits will do you good ( beautifuly crafted all the singles version , way to go Virgin Records !!! <sssss> ) . <sssss> But as for all Forever Your Girl will be considered always one of time best debut album .
A38U2M9OAEJAXJ	B000000WGF	4	Say what you will about Paula Abdul -- she does n't sing very well and her music is often derivative -- but one thing is certain : she came out with some of the catchiest songs of the 1980s . <sssss> This album has all the ingredients of a hit : sharp beats , slammin ' grooves , and Abdul 's whiny voice , which , in a strange way , sounds good . <sssss> Standouts include " The Way That You Love Me " , the Babyface-penned " Knocked Out " , and the memorable " Cold Hearted " . <sssss> In the age of pale imitators like Britney Spears , we need an artist like Abdul more badly now than ever . <sssss> She was never remembered as a " deep " artist like poseur Alanis Morrissette , but she delivered some well-crafted pop tunes in her day .
AADJXNY9HSKJF	B0000013G5	5	This is pop / R & B at its greatest . <sssss> Toni Braxton burst onto the scene with this being her debut in 1993 . <sssss> She had already had a bit of success with the minor hit " Love Shoulda Brought You Home " from the Boomerang soundtrack the year before * which is featured on here * so she was already creating a buzz . <sssss> This album was a surprising smash hitting # 1 on the album charts , going 8x platinum , and spawning several hit singles for Ms. Braxton . <sssss> The three big hits on here are also the best songs which are " Another Sad Love Song " , " Breathe Again " , and my personal favorite , the up-lifting 1994 hit " You Mean the World To Me " . <sssss> All three of these were huge hit singles and made the top 10 . <sssss> These were not the only singles though . <sssss> " Toni Braxton " also produced moderate / minor hits with " Seven Whole Days " , " How Many Ways " , and the great " I Belong To You " . <sssss> In all , over half the album was released as singles and became hits . <sssss> Definitely worth the money ! <sssss> It 's a grear album and a great reflection on the early / mid 90 's R&B circuit seeing as how Babyface ( " Take A Bow " - Madonna , " I 'll Make Love To You " - Boyz II Men , " Never Forget You " - Mariah Carey ) did a great deal of writing / producing . <sssss> Toni Braxton would continue to be extremely successful through-out the 90 's and into 2000 with her huge sophomore release " Secrets " and successful third album " The Heat " ... both which would give her several more great hit songs . <sssss> It 's a shame her latest release " More Than A Woman " has not lived up to previous standards . <sssss> Toni is a great talent .
